
Aspect ratio at max_mode 1: 3.5110982166058085
Mean iota at 1: -0.18276397680066928
Quasisymmetry objective at max_mode 1: 0.02073411065522524
Magnetic well at max_mode 1: -0.06064328046198125
Mercier objective at max_mode 1: 0.0
Total beta at at max_mode 1: 0.0
Squared flux at max_mode 1: 0.026957816732874913
fun_coils#26 - J=1.5e-03, Jf=1.5e-03, ⟨B·n⟩=1.1e-02, B·n max=4.1e-02, ║∇J coils║=1.5e-02, C-C-Sep=0.18 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.2e-09, J_ALS=1.5e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 4.0])=10.7, curvature=[1.0, 9.7], mean squared curvature=[0.9, 11.0], coils dofs=0.4309913022448428, 1.6940729591943149, 1.4677837916381567e-17, -0.00545209904203683, 1.0769242703246913, 9.525241444308937e-19
fun_coils#27 - J=6.0e-03, Jf=1.2e-03, ⟨B·n⟩=1.0e-02, B·n max=3.4e-02, ║∇J coils║=4.0e-01, C-C-Sep=0.21 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.4e-04, J_ALS=2.3e-09, J_LENGTH_PENALTY=4.5e-03 Coil lengths=sum([6.8, 4.3])=11.1, curvature=[1.0, 11.0], mean squared curvature=[0.9, 11.8], coils dofs=0.43224614467943184, 1.693815142899876, 2.0623976857641524e-17, -0.007542437361274986, 1.0767297014784813, 2.2993791317873614e-18
fun_coils#28 - J=1.5e-03, Jf=1.5e-03, ⟨B·n⟩=1.1e-02, B·n max=4.1e-02, ║∇J coils║=1.6e-02, C-C-Sep=0.18 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.4e-07, J_ALS=1.5e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 9.7], mean squared curvature=[0.9, 11.0], coils dofs=0.4310561462318862, 1.6940596365364295, 1.4985104666243743e-17, -0.005560117281739882, 1.0769142159789067, 1.0221228804491597e-18
fun_coils#29 - J=2.5e-03, Jf=1.3e-03, ⟨B·n⟩=1.1e-02, B·n max=3.7e-02, ║∇J coils║=1.9e-01, C-C-Sep=0.20 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=7.0e-05, J_ALS=1.9e-09, J_LENGTH_PENALTY=1.2e-03 Coil lengths=sum([6.8, 4.2])=10.9, curvature=[1.0, 10.1], mean squared curvature=[0.9, 11.4], coils dofs=0.4316856546423066, 1.6939302995605519, 1.7968064414714003e-17, -0.006608763323914461, 1.0768166079273147, 1.6977906127372066e-18
fun_coils#30 - J=1.4e-03, Jf=1.4e-03, ⟨B·n⟩=1.1e-02, B·n max=4.0e-02, ║∇J coils║=2.1e-02, C-C-Sep=0.18 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-06, J_ALS=1.5e-09, J_LENGTH_PENALTY=3.5e-06 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 9.7], mean squared curvature=[0.9, 11.0], coils dofs=0.4311109865424187, 1.694048369204964, 1.5244968452341304e-17, -0.005651471223386415, 1.0769057127472244, 1.0809844105607772e-18
fun_coils#31 - J=1.4e-03, Jf=1.4e-03, ⟨B·n⟩=1.1e-02, B·n max=3.9e-02, ║∇J coils║=3.7e-02, C-C-Sep=0.20 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.7e-06, J_ALS=1.6e-09, J_LENGTH_PENALTY=7.9e-06 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 9.8], mean squared curvature=[0.9, 11.1], coils dofs=0.4297556057975939, 1.694392080304578, 1.6383645810470962e-17, -0.006024603394374541, 1.077060381235015, 1.461050800096539e-18
fun_coils#32 - J=1.3e-03, Jf=1.3e-03, ⟨B·n⟩=1.1e-02, B·n max=3.6e-02, ║∇J coils║=1.2e-02, C-C-Sep=0.23 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.7e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 10.2], mean squared curvature=[0.9, 10.9], coils dofs=0.42779011839277553, 1.6948870220866943, 1.7920183468928004e-17, -0.006492224777248945, 1.07728414391518, 1.9494958817821633e-18
fun_coils#33 - J=1.3e-03, Jf=1.3e-03, ⟨B·n⟩=1.1e-02, B·n max=3.5e-02, ║∇J coils║=1.8e-02, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.8e-09, J_LENGTH_PENALTY=3.2e-05 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 10.4], mean squared curvature=[0.9, 10.9], coils dofs=0.4276187980682481, 1.6949366897334865, 1.9194484595309533e-17, -0.0068876655640728295, 1.0772934894001165, 2.2446945795602177e-18
fun_coils#34 - J=1.3e-03, Jf=1.3e-03, ⟨B·n⟩=1.1e-02, B·n max=3.6e-02, ║∇J coils║=1.1e-02, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.7e-09, J_LENGTH_PENALTY=7.6e-06 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 10.3], mean squared curvature=[0.9, 10.9], coils dofs=0.4282792868868779, 1.6947668924112458, 1.93335578585626e-17, -0.00688640900207437, 1.0772072103210144, 2.148390879204719e-18
fun_coils#35 - J=1.3e-03, Jf=1.3e-03, ⟨B·n⟩=1.1e-02, B·n max=3.8e-02, ║∇J coils║=4.2e-02, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=5.7e-06, J_MSC=3.3e-06, J_ALS=1.7e-09, J_LENGTH_PENALTY=3.0e-07 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 11.6], mean squared curvature=[0.9, 11.1], coils dofs=0.43000873440447474, 1.6943271886026015, 2.070311701767996e-17, -0.007179611003858836, 1.0769719476736643, 2.125896126810899e-18
