
fun_coils#22 - J=1.2e-03, Jf=1.2e-03, ⟨B·n⟩=4.2e-02, B·n max=2.7e-01, ║∇J coils║=6.2e-02, C-C-Sep=0.19 J_length=1.9e-07, J_CC=0.0e+00, J_CURVATURE=1.4e-05, J_MSC=9.1e-03, J_ALS=9.3e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.9, 3.0])=19.5, curvature=[1.0, 1.0, 4.2, 4.3], mean squared curvature=[0.9, 0.8, 7.9, 8.0], coils dofs=6.913824505531354, 6.913345687885586, 6.917175777178779, -6.917725880772392, -0.009390126601836203, -0.0028861010075160805
fun_coils#23 - J=1.1e-03, Jf=1.1e-03, ⟨B·n⟩=4.0e-02, B·n max=2.5e-01, ║∇J coils║=4.8e-02, C-C-Sep=0.19 J_length=1.9e-07, J_CC=0.0e+00, J_CURVATURE=4.4e-06, J_MSC=6.2e-03, J_ALS=9.1e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.9, 3.0])=19.5, curvature=[1.0, 1.0, 4.2, 3.9], mean squared curvature=[0.9, 0.8, 7.7, 7.9], coils dofs=6.913824802553861, 6.913341999874411, 6.917153450093504, -6.917755914751082, -0.009572590918149899, -0.0029902154010338446
fun_coils#24 - J=9.8e-04, Jf=9.8e-04, ⟨B·n⟩=3.8e-02, B·n max=2.3e-01, ║∇J coils║=3.4e-02, C-C-Sep=0.19 J_length=2.0e-07, J_CC=0.0e+00, J_CURVATURE=2.1e-06, J_MSC=5.0e-03, J_ALS=9.3e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.9, 3.0])=19.5, curvature=[1.0, 1.0, 4.0, 4.1], mean squared curvature=[0.9, 0.8, 7.7, 7.7], coils dofs=6.913811295420458, 6.9133137379036524, 6.917122584316364, -6.917837380814875, -0.010093179078740609, -0.0032637190142334226
fun_coils#25 - J=9.4e-04, Jf=8.8e-04, ⟨B·n⟩=3.7e-02, B·n max=2.0e-01, ║∇J coils║=1.2e-01, C-C-Sep=0.19 J_length=2.0e-07, J_CC=0.0e+00, J_CURVATURE=6.1e-05, J_MSC=6.7e-03, J_ALS=9.7e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.9, 3.0])=19.6, curvature=[1.0, 1.0, 4.2, 4.5], mean squared curvature=[0.9, 0.8, 8.0, 7.6], coils dofs=6.913787630790861, 6.913272973042623, 6.917074732310418, -6.9179588509099945, -0.010686834940204277, -0.0035725985025702473
fun_coils#26 - J=8.6e-04, Jf=8.6e-04, ⟨B·n⟩=3.6e-02, B·n max=2.0e-01, ║∇J coils║=4.4e-02, C-C-Sep=0.19 J_length=2.0e-07, J_CC=0.0e+00, J_CURVATURE=2.3e-07, J_MSC=3.3e-03, J_ALS=9.4e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.9, 3.0])=19.6, curvature=[1.0, 1.0, 4.0, 4.0], mean squared curvature=[0.9, 0.8, 7.7, 7.3], coils dofs=6.913800829515734, 6.913288054653092, 6.917023029483268, -6.917987320209172, -0.01070132849472344, -0.0036104512962198037
fun_coils#27 - J=8.2e-04, Jf=8.2e-04, ⟨B·n⟩=3.5e-02, B·n max=2.0e-01, ║∇J coils║=2.9e-02, C-C-Sep=0.19 J_length=2.0e-07, J_CC=0.0e+00, J_CURVATURE=5.3e-07, J_MSC=3.5e-03, J_ALS=9.6e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.9, 3.0])=19.6, curvature=[1.0, 1.0, 4.1, 4.0], mean squared curvature=[0.9, 0.8, 7.8, 7.3], coils dofs=6.913789503280452, 6.913271992202697, 6.91700443144576, -6.918035557373146, -0.010881246508203827, -0.003702882338806421
fun_coils#28 - J=8.1e-04, Jf=7.1e-04, ⟨B·n⟩=3.3e-02, B·n max=1.8e-01, ║∇J coils║=1.2e-01, C-C-Sep=0.19 J_length=2.0e-07, J_CC=0.0e+00, J_CURVATURE=9.9e-05, J_MSC=1.0e-02, J_ALS=1.0e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 3.0, 3.0])=19.6, curvature=[1.0, 1.0, 4.6, 4.1], mean squared curvature=[0.9, 0.8, 8.4, 7.3], coils dofs=6.9137205261816375, 6.913176419726139, 6.9169169955946685, -6.918299624605683, -0.011893157694678627, -0.004223189829525995
fun_coils#29 - J=7.6e-04, Jf=7.6e-04, ⟨B·n⟩=3.3e-02, B·n max=1.9e-01, ║∇J coils║=2.7e-02, C-C-Sep=0.19 J_length=2.0e-07, J_CC=0.0e+00, J_CURVATURE=2.4e-06, J_MSC=4.8e-03, J_ALS=9.8e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 3.0, 3.0])=19.6, curvature=[1.0, 1.0, 4.1, 4.0], mean squared curvature=[0.9, 0.8, 7.9, 7.3], coils dofs=6.9137643028135685, 6.913237075236459, 6.916972487158342, -6.918132033126155, -0.011250943621911551, -0.0038929742956209787
fun_coils#30 - J=7.2e-04, Jf=6.9e-04, ⟨B·n⟩=3.2e-02, B·n max=1.9e-01, ║∇J coils║=8.0e-02, C-C-Sep=0.19 J_length=2.0e-07, J_CC=0.0e+00, J_CURVATURE=3.1e-05, J_MSC=6.7e-03, J_ALS=1.1e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 3.0, 3.0])=19.7, curvature=[1.0, 1.0, 4.4, 4.2], mean squared curvature=[0.9, 0.8, 8.1, 7.3], coils dofs=6.913669412877098, 6.913122102599481, 6.916913455227777, -6.918407536285214, -0.012134271976435452, -0.0043447240121865845
fun_coils#31 - J=6.8e-04, Jf=6.7e-04, ⟨B·n⟩=3.1e-02, B·n max=1.9e-01, ║∇J coils║=3.1e-02, C-C-Sep=0.19 J_length=2.0e-07, J_CC=0.0e+00, J_CURVATURE=1.5e-06, J_MSC=4.7e-03, J_ALS=1.1e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 3.0, 3.0])=19.7, curvature=[1.0, 1.0, 4.0, 4.1], mean squared curvature=[0.9, 0.8, 7.9, 7.4], coils dofs=6.9136595641316045, 6.913112882383246, 6.916929963355632, -6.91840863064619, -0.01212902948333064, -0.004338274726046656
fun_coils#32 - J=6.5e-04, Jf=6.4e-04, ⟨B·n⟩=3.1e-02, B·n max=1.8e-01, ║∇J coils║=2.2e-02, C-C-Sep=0.19 J_length=2.0e-07, J_CC=0.0e+00, J_CURVATURE=2.4e-06, J_MSC=7.4e-03, J_ALS=1.1e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 3.0, 3.0])=19.7, curvature=[1.0, 1.0, 4.1, 4.0], mean squared curvature=[0.9, 0.8, 8.2, 7.3], coils dofs=6.913651282250203, 6.91310008060176, 6.916912449043865, -6.918451912089173, -0.012341355432064776, -0.004461000406294536
fun_coils#33 - J=6.3e-04, Jf=6.2e-04, ⟨B·n⟩=3.0e-02, B·n max=1.7e-01, ║∇J coils║=3.0e-02, C-C-Sep=0.19 J_length=2.0e-07, J_CC=0.0e+00, J_CURVATURE=4.2e-06, J_MSC=8.0e-03, J_ALS=1.1e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 3.0, 3.0])=19.7, curvature=[1.0, 1.0, 4.2, 4.0], mean squared curvature=[0.9, 0.8, 8.2, 7.3], coils dofs=6.9136303625940805, 6.913077665161395, 6.916910048096173, -6.918500089446731, -0.012511681840701233, -0.0045599727672932435
fun_coils#34 - J=6.1e-04, Jf=5.9e-04, ⟨B·n⟩=2.9e-02, B·n max=1.6e-01, ║∇J coils║=6.4e-02, C-C-Sep=0.19 J_length=2.0e-07, J_CC=0.0e+00, J_CURVATURE=1.7e-05, J_MSC=7.2e-03, J_ALS=1.1e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 3.0, 3.0])=19.7, curvature=[1.0, 1.0, 4.3, 4.2], mean squared curvature=[0.9, 0.9, 8.1, 7.4], coils dofs=6.913602646256697, 6.913053666324533, 6.916901995814908, -6.918565824758771, -0.01271202945650367, -0.004705587921559248
fun_coils#35 - J=6.5e-04, Jf=6.1e-04, ⟨B·n⟩=3.0e-02, B·n max=1.5e-01, ║∇J coils║=9.4e-02, C-C-Sep=0.20 J_length=2.0e-07, J_CC=0.0e+00, J_CURVATURE=3.6e-05, J_MSC=2.8e-03, J_ALS=1.0e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 3.0, 3.0])=19.7, curvature=[1.0, 1.0, 3.9, 4.5], mean squared curvature=[0.9, 0.9, 7.6, 7.5], coils dofs=6.913593437039606, 6.913064241435887, 6.91693591398986, -6.9185346850516485, -0.012536604796289794, -0.004685104151000889
fun_coils#36 - J=6.0e-04, Jf=5.9e-04, ⟨B·n⟩=2.9e-02, B·n max=1.6e-01, ║∇J coils║=4.3e-02, C-C-Sep=0.19 J_length=2.0e-07, J_CC=0.0e+00, J_CURVATURE=8.1e-06, J_MSC=5.3e-03, J_ALS=1.1e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 3.0, 3.0])=19.7, curvature=[1.0, 1.0, 4.1, 4.3], mean squared curvature=[0.9, 0.9, 8.0, 7.4], coils dofs=6.913599949768436, 6.913056762751009, 6.916911927165173, -6.918556706952786, -0.012660664554114407, -0.0046995902079310075
fun_coils#37 - J=5.8e-04, Jf=5.8e-04, ⟨B·n⟩=2.9e-02, B·n max=1.6e-01, ║∇J coils║=1.6e-02, C-C-Sep=0.19 J_length=2.0e-07, J_CC=0.0e+00, J_CURVATURE=6.2e-07, J_MSC=4.7e-03, J_ALS=1.1e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 3.0, 3.0])=19.7, curvature=[1.0, 1.0, 4.0, 4.1], mean squared curvature=[0.9, 0.9, 7.9, 7.4], coils dofs=6.913589749370566, 6.913048391175969, 6.916902239567459, -6.918586678062524, -0.012711691221340297, -0.004739940305160173
fun_coils#38 - J=5.5e-04, Jf=5.4e-04, ⟨B·n⟩=2.8e-02, B·n max=1.5e-01, ║∇J coils║=1.9e-02, C-C-Sep=0.19 J_length=2.0e-07, J_CC=0.0e+00, J_CURVATURE=1.9e-06, J_MSC=4.3e-03, J_ALS=1.1e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 3.1, 3.0])=19.7, curvature=[1.0, 1.0, 4.1, 4.1], mean squared curvature=[0.9, 0.9, 7.8, 7.4], coils dofs=6.913556855609751, 6.913021593173357, 6.916871824667605, -6.918685110695861, -0.01294032882804628, -0.004917093175852051
fun_coils#39 - J=5.7e-04, Jf=4.9e-04, ⟨B·n⟩=2.7e-02, B·n max=1.3e-01, ║∇J coils║=1.1e-01, C-C-Sep=0.20 J_length=2.0e-07, J_CC=0.0e+00, J_CURVATURE=8.3e-05, J_MSC=6.5e-03, J_ALS=1.0e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 3.1, 3.1])=19.8, curvature=[1.0, 1.0, 4.4, 4.4], mean squared curvature=[0.9, 0.9, 7.9, 7.7], coils dofs=6.913486880531694, 6.912970698581368, 6.91678392248295, -6.918916734461408, -0.01343836966934869, -0.005338598654029568
fun_coils#40 - J=5.3e-04, Jf=5.2e-04, ⟨B·n⟩=2.7e-02, B·n max=1.4e-01, ║∇J coils║=3.9e-02, C-C-Sep=0.20 J_length=2.0e-07, J_CC=0.0e+00, J_CURVATURE=1.3e-05, J_MSC=4.6e-03, J_ALS=1.0e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 3.1, 3.1])=19.8, curvature=[1.0, 1.0, 4.1, 4.2], mean squared curvature=[0.9, 0.9, 7.8, 7.5], coils dofs=6.913528266999389, 6.9130007999752605, 6.916835911862978, -6.918779741552555, -0.013143805493619844, -0.005089300999202976
