index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep,Jquasisymmetry,Jiota,Jmercier,Jaspect,Jwell
20,21,0.062481639957045046,8.106412011192631e-07,10.557627275752509,9.107360903761576e-12,0.0,0.0,0.0,9.795281120022591e-09,12.381282127169039,14.159649833676866,0.002294076473831334,0.00012419760576860264,0.14989130237214673,0.020700002382384532,1.9424013836677706e-05,0.0,0.0005651179562843674,
21,22,0.06206218700486271,8.007387295688818e-07,10.557719618795904,1.4337071430975609e-11,0.0,0.0,0.0,9.794447868034765e-09,12.381085366834377,14.160331784562961,0.0022815056984266395,0.00010277093694831987,0.14986455759196401,0.020654525011396918,2.0173552890514904e-05,0.0,0.0006785507391432977,
22,23,0.061923670529505724,7.937271638192807e-07,10.557889571026095,2.9881341348735213e-11,0.0,0.0,0.0,9.792898976343273e-09,12.377925723601768,14.158979136070958,0.002263667018352884,0.00028637629124463244,0.14981408280964678,0.020624083812369517,2.149458283704708e-05,0.0,0.0009071436819170228,
23,24,0.061774100705566,7.892329830459813e-07,10.55796690933419,4.0707647754990886e-11,0.0,0.0,0.0,9.792320351297694e-09,12.378461390705109,14.159395402647675,0.0022731574173622203,0.0002292329864889094,0.14978833187056237,0.02060895404693139,2.228298036384152e-05,0.0,0.0009890163027446396,
24,25,0.06157540655021637,7.839356351488688e-07,10.558061036807997,6.239790230373881e-11,0.0,0.0,0.0,9.791584722387757e-09,12.378700815432252,14.159856347011976,0.0022708817235771255,0.00027858814140733086,0.14974645719399393,0.020573865570947335,2.228657322860582e-05,0.0,0.0010891943583049247,
25,26,0.0614348153564976,7.791261084488913e-07,10.558226556999932,8.513026609370791e-11,0.0,0.0,0.0,9.790259219238109e-09,12.377069953390448,14.160554977113513,0.0022552260338454004,0.00023891279262948164,0.1497122664598039,0.020532981319706337,2.1684033316578162e-05,0.0,0.001234918806914252,
26,27,0.061386919585679135,7.767067257432299e-07,10.558340915449634,9.260201014960048e-11,0.0,0.0,0.0,9.789199414837398e-09,12.375140763884897,14.16102484314433,0.0022513666341281023,0.00029164804657667154,0.14970364239510445,0.020515634859165046,2.2341104733890866e-05,0.0,0.001318447320764404,
27,28,0.06131070224749925,7.748777405546827e-07,10.558368349835256,8.928624387381053e-11,0.0,0.0,0.0,9.788775972604791e-09,12.37472289338704,14.16134129331952,0.0022472328644874006,0.00029116213419029183,0.14970838649585344,0.020505363732741925,2.3165411036804717e-05,0.0,0.0013358942658312878,
28,29,0.061200571489666025,7.722414016751267e-07,10.55843047329939,8.666396367478733e-11,0.0,0.0,0.0,9.788078825939383e-09,12.373615826148859,14.162003903855883,0.0022440056048222967,0.0002863672339534902,0.14971160612346884,0.020477768896039684,2.362983141244926e-05,0.0,0.0013806970562645399,
29,30,0.061050663209389525,7.685355809280833e-07,10.55850511000235,1.0101444377391228e-10,0.0,0.0,0.0,9.787107091763167e-09,12.372411524374124,14.162972712355657,0.0022391914045636245,0.00030328604615638475,0.1496907332618631,0.020441957787043056,2.486225485137278e-05,0.0,0.001438897750651779,
30,31,0.06090214496505458,7.642543169767576e-07,10.558614549402332,1.1900154193010262e-10,0.0,0.0,0.0,9.785743814091571e-09,12.370788183317583,14.164137143300737,0.0022385654199705654,0.00033662959930666876,0.149666612807474,0.020413319117678963,2.654182389122969e-05,0.0,0.0015154544918242322,
31,32,0.06068973714310667,7.580764297331026e-07,10.558766159337287,1.2876646461349488e-10,0.0,0.0,0.0,9.784264645242331e-09,12.369662392638588,14.165786456002937,0.0022284444948997783,0.00030947412359331105,0.149653102514091,0.02041401177546766,2.6742489288960235e-05,0.0,0.0016088274326016357,
