index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
42,43,1.1642909877410125e-07,1.0624170884521938e-07,10.80034060916389,0.0,0.0,0.0,0.0,1.0187389928881874e-08,13.680009120640097,14.637950160721012,0.0009512301521912277,3.7489351116790085e-06,0.16370728452307434
43,44,1.1639810894376123e-07,1.0620956750099921e-07,10.800533615241072,0.0,0.0,0.0,0.0,1.0188541442762014e-08,13.784264813958604,14.66942742119231,0.0009524500902077038,6.051081931765098e-06,0.16368300364577792
44,45,1.1636736128810781e-07,1.0617838029719479e-07,10.800608673675772,0.0,0.0,0.0,0.0,1.018898099091303e-08,13.829964864266133,14.682658996245792,0.0009518562280473744,4.079250247010286e-06,0.163670812339089
45,46,1.1632810773873146e-07,1.0613851893270251e-07,10.80072092646805,0.0,0.0,0.0,0.0,1.0189588806028944e-08,13.900624195031245,14.702918100669171,0.0009513700139761253,4.73037923726557e-06,0.16365029694936203
46,47,1.1629780799516104e-07,1.0610774359048785e-07,10.800827472398339,0.0,0.0,0.0,0.0,1.0190064404673188e-08,13.960372188266362,14.719443622937979,0.0009508655063590595,5.414433616143058e-06,0.16363680320132548
47,48,1.1627894202200287e-07,1.0608834899922368e-07,10.800952698236937,0.0,0.0,0.0,0.0,1.0190593022779187e-08,14.020435446217697,14.738132341204526,0.000951376796680754,2.765300558995002e-06,0.16362511083965467
48,49,1.1627237930816255e-07,1.06081779573272e-07,10.800960119107845,0.0,0.0,0.0,0.0,1.0190599734890548e-08,14.021100506654424,14.737987787311948,0.0009513386209061678,2.074053076680258e-06,0.16362802129503753
49,50,1.1626564458461499e-07,1.060750060774432e-07,10.800973022003276,0.0,0.0,0.0,0.0,1.0190638507171784e-08,14.021946792983583,14.73822315498966,0.0009514383355583033,2.3783764391623167e-06,0.16363285917390302
50,51,1.1625356318804505e-07,1.0606277881982059e-07,10.801007574552298,0.0,0.0,0.0,0.0,1.019078436822446e-08,14.032534086723835,14.741001261537104,0.0009515403625239996,3.1533941641002325e-06,0.16363665028183813
51,52,1.1622509079113209e-07,1.0603378276509014e-07,10.801129920165835,0.0,0.0,0.0,0.0,1.0191308026041943e-08,14.074877666769599,14.751893466246432,0.0009518708768876577,3.398922452419937e-06,0.16364029420151643
52,53,1.1620430873123182e-07,1.0601251866135902e-07,10.801242168838561,0.0,0.0,0.0,0.0,1.0191790069872799e-08,14.116451883214319,14.762657294803411,0.0009519062753269192,4.430751569612715e-06,0.16363904522975092
53,54,1.1618542239958495e-07,1.059931813589916e-07,10.8013508084298,0.0,0.0,0.0,0.0,1.0192241040593338e-08,14.157303475790048,14.77282745099101,0.0009519418187770027,3.6952598845844004e-06,0.16363200032925665
54,55,1.1616407495220814e-07,1.059714134324497e-07,10.801451733981022,0.0,0.0,0.0,0.0,1.0192661519758435e-08,14.192872164432119,14.781158515492773,0.0009517539778790546,2.703142161389791e-06,0.16362415066451302
55,56,1.1614103435516701e-07,1.0594776695937938e-07,10.801575216911093,0.0,0.0,0.0,0.0,1.0193267395787634e-08,14.229048498346005,14.789577340329364,0.000951392280293672,1.580203412864351e-06,0.1636179040285347
56,57,1.161321808227255e-07,1.0593856482690316e-07,10.80162704664358,0.0,0.0,0.0,0.0,1.019361599582234e-08,14.236388298540406,14.791392493660027,0.000951223804329214,1.7176304245430221e-06,0.16361510522305944
57,58,1.1612489566077766e-07,1.0593093667172324e-07,10.801668867799,0.0,0.0,0.0,0.0,1.0193958989054424e-08,14.236313525950898,14.791532436801841,0.0009511131076865711,1.6053023225466177e-06,0.16361100405679652
