
fun_coils#34 - J=6.0e-04, Jf=5.9e-04, ⟨B·n⟩=1.7e-02, B·n max=7.3e-02, ║∇J coils║=5.1e-03, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=3.0e-07, J_MSC=0.0e+00, J_ALS=4.3e-10, J_LENGTH_PENALTY=1.1e-05 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.0, 5.7], mean squared curvature=[0.8, 6.3], coils dofs=3.569003445436086, 3.6033105467292486, 6.084923321606017e-17, -0.019533654406470036, 1.0945382366528176, -8.055401956040272e-18
fun_coils#35 - J=6.0e-04, Jf=5.9e-04, ⟨B·n⟩=1.7e-02, B·n max=7.3e-02, ║∇J coils║=4.6e-03, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=4.3e-10, J_LENGTH_PENALTY=1.1e-05 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.0, 5.4], mean squared curvature=[0.8, 6.7], coils dofs=3.5684219506946566, 3.6044680564249436, 7.166168207623325e-17, -0.021753250426722718, 1.09512700380035, -9.387210853056634e-18
fun_coils#36 - J=5.9e-04, Jf=5.8e-04, ⟨B·n⟩=1.7e-02, B·n max=7.6e-02, ║∇J coils║=5.8e-03, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=4.7e-10, J_LENGTH_PENALTY=3.7e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.0, 5.1], mean squared curvature=[0.8, 7.0], coils dofs=3.5677056630992556, 3.605901785294866, 8.178735007902856e-17, -0.024654354369774145, 1.0958296933631424, -1.0943057716923562e-17
fun_coils#37 - J=5.8e-04, Jf=5.7e-04, ⟨B·n⟩=1.7e-02, B·n max=7.5e-02, ║∇J coils║=8.0e-03, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=6.0e-10, J_LENGTH_PENALTY=8.6e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.0, 4.8], mean squared curvature=[0.8, 7.8], coils dofs=3.566830000040158, 3.6077383624124972, 9.46449523545501e-17, -0.028426648403994705, 1.0967175425679898, -1.3056100374269884e-17
fun_coils#38 - J=5.8e-04, Jf=5.8e-04, ⟨B·n⟩=1.7e-02, B·n max=7.5e-02, ║∇J coils║=5.8e-03, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=5.9e-10, J_LENGTH_PENALTY=1.2e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.0, 4.8], mean squared curvature=[0.8, 7.4], coils dofs=3.5668567925067363, 3.6077270372355663, 8.992565328060914e-17, -0.028526024211361314, 1.0966881932914074, -1.318314308441544e-17
fun_coils#39 - J=5.7e-04, Jf=5.7e-04, ⟨B·n⟩=1.7e-02, B·n max=7.5e-02, ║∇J coils║=5.9e-03, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=6.7e-10, J_LENGTH_PENALTY=2.0e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.1, 4.7], mean squared curvature=[0.9, 7.6], coils dofs=3.5665115602198956, 3.6084472590935235, 9.007203125233887e-17, -0.029970819725014933, 1.0970398897221518, -1.4074757639818736e-17
fun_coils#40 - J=8.0e-04, Jf=5.6e-04, ⟨B·n⟩=1.6e-02, B·n max=7.3e-02, ║∇J coils║=2.4e-01, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=8.7e-05, J_MSC=1.5e-04, J_ALS=9.6e-10, J_LENGTH_PENALTY=6.0e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.1, 8.0], mean squared curvature=[0.9, 8.5], coils dofs=3.565743431572132, 3.610239471500337, 9.068740165159263e-17, -0.03383648126218108, 1.0978680666128995, -1.640500416480558e-17
fun_coils#41 - J=5.7e-04, Jf=5.7e-04, ⟨B·n⟩=1.7e-02, B·n max=7.4e-02, ║∇J coils║=5.7e-03, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=7.3e-10, J_LENGTH_PENALTY=2.4e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.1, 5.3], mean squared curvature=[0.9, 7.8], coils dofs=3.566333419278348, 3.608862900934943, 9.021474518787943e-17, -0.030867326563994726, 1.0972319567821627, -1.4615177934268797e-17
fun_coils#42 - J=5.1e-03, Jf=5.5e-04, ⟨B·n⟩=1.6e-02, B·n max=7.1e-02, ║∇J coils║=1.8e+00, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=1.3e-03, J_MSC=3.3e-03, J_ALS=1.4e-09, J_LENGTH_PENALTY=1.7e-05 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.1, 14.7], mean squared curvature=[0.9, 10.6], coils dofs=3.5650037976123965, 3.6120351242437354, 8.175059529815577e-17, -0.03789499810193565, 1.098642063935313, -1.9187984118500665e-17
fun_coils#43 - J=5.7e-04, Jf=5.6e-04, ⟨B·n⟩=1.6e-02, B·n max=7.3e-02, ║∇J coils║=1.1e-02, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=7.2e-06, J_MSC=0.0e+00, J_ALS=8.3e-10, J_LENGTH_PENALTY=3.2e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.1, 6.4], mean squared curvature=[0.9, 8.0], coils dofs=3.566065370185592, 3.609502414867151, 8.850838934471736e-17, -0.03228409121831027, 1.0975162315896285, -1.5537046598431413e-17
fun_coils#44 - J=5.7e-04, Jf=5.6e-04, ⟨B·n⟩=1.6e-02, B·n max=7.3e-02, ║∇J coils║=5.6e-03, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=4.3e-07, J_MSC=0.0e+00, J_ALS=7.7e-10, J_LENGTH_PENALTY=2.7e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.1, 5.7], mean squared curvature=[0.9, 7.8], coils dofs=3.566221185004206, 3.6091306704739, 8.950028050711344e-17, -0.031460537124688985, 1.0973509848913228, -1.500117163159079e-17
fun_coils#45 - J=5.6e-04, Jf=5.5e-04, ⟨B·n⟩=1.6e-02, B·n max=7.3e-02, ║∇J coils║=1.2e-02, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=1.5e-07, J_MSC=0.0e+00, J_ALS=8.6e-10, J_LENGTH_PENALTY=6.0e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.1, 5.6], mean squared curvature=[0.9, 7.3], coils dofs=3.5663672602728917, 3.609166014672686, 6.943634979104354e-17, -0.031943625767811845, 1.0972732414141673, -1.5509936791156908e-17
fun_coils#46 - J=5.5e-04, Jf=5.4e-04, ⟨B·n⟩=1.6e-02, B·n max=7.2e-02, ║∇J coils║=6.2e-03, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=3.6e-07, J_MSC=0.0e+00, J_ALS=8.9e-10, J_LENGTH_PENALTY=6.6e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.1, 5.7], mean squared curvature=[0.9, 7.2], coils dofs=3.566288547943921, 3.6093433311468113, 6.355847394338457e-17, -0.032431045612108515, 1.0973297195136191, -1.5754487119094712e-17
fun_coils#47 - J=5.4e-04, Jf=5.4e-04, ⟨B·n⟩=1.6e-02, B·n max=7.2e-02, ║∇J coils║=3.9e-03, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=1.6e-08, J_MSC=0.0e+00, J_ALS=9.3e-10, J_LENGTH_PENALTY=7.7e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.1, 5.5], mean squared curvature=[0.9, 7.0], coils dofs=3.5661114405518792, 3.609666149783404, 5.134468544663166e-17, -0.03323411248565854, 1.097447983890198, -1.6121468023734207e-17
fun_coils#48 - J=5.4e-04, Jf=5.4e-04, ⟨B·n⟩=1.6e-02, B·n max=7.3e-02, ║∇J coils║=3.5e-03, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=4.3e-07, J_MSC=0.0e+00, J_ALS=9.7e-10, J_LENGTH_PENALTY=6.5e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.1, 5.7], mean squared curvature=[0.9, 7.1], coils dofs=3.5659777593349107, 3.609931498409085, 4.803686071109169e-17, -0.03383498376983303, 1.097558318651356, -1.6419235225191152e-17
