Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
    46,  3.8755e+01,  1.2205463866075303e-01, -5.4334283613883962e-02,  1.4593906700876802e-01, -5.7798401994290337e-03,  1.1417005766459939e-01,  7.0531185286726653e-02,  1.6431683747263287e-01, -6.5399303657109635e-03
    47,  3.8755e+01,  1.2205341812657176e-01, -5.4333740271047822e-02,  1.4593906700876802e-01, -5.7798401994290337e-03,  1.1417005766459939e-01,  7.0531185286726653e-02,  1.6431683747263287e-01, -6.5399303657109635e-03
    48,  3.8755e+01,  1.2205341812657176e-01, -5.4334283613883962e-02,  1.4594052639943811e-01, -5.7798401994290337e-03,  1.1417005766459939e-01,  7.0531185286726653e-02,  1.6431683747263287e-01, -6.5399303657109635e-03
    49,  3.8756e+01,  1.2205341812657176e-01, -5.4334283613883962e-02,  1.4593906700876802e-01, -5.7797401994290334e-03,  1.1417005766459939e-01,  7.0531185286726653e-02,  1.6431683747263287e-01, -6.5399303657109635e-03
    50,  3.8782e+01,  1.2205341812657176e-01, -5.4334283613883962e-02,  1.4593906700876802e-01, -5.7798401994290337e-03,  1.1417119936517604e-01,  7.0531185286726653e-02,  1.6431683747263287e-01, -6.5399303657109635e-03
    51,  3.8783e+01,  1.2205341812657176e-01, -5.4334283613883962e-02,  1.4593906700876802e-01, -5.7798401994290337e-03,  1.1417005766459939e-01,  7.0531890598579519e-02,  1.6431683747263287e-01, -6.5399303657109635e-03
    52,  3.8783e+01,  1.2205341812657176e-01, -5.4334283613883962e-02,  1.4593906700876802e-01, -5.7798401994290337e-03,  1.1417005766459939e-01,  7.0531185286726653e-02,  1.6431848064100760e-01, -6.5399303657109635e-03
    53,  3.8783e+01,  1.2205341812657176e-01, -5.4334283613883962e-02,  1.4593906700876802e-01, -5.7798401994290337e-03,  1.1417005766459939e-01,  7.0531185286726653e-02,  1.6431683747263287e-01, -6.5398303657109632e-03
    54,  4.6878e+01,  1.2167633280415184e-01, -5.4495641647982450e-02,  1.4649696375706300e-01, -5.7958121086214131e-03,  1.1428498454937391e-01,  7.0349783245961375e-02,  1.6362244441892862e-01, -6.6900465376084029e-03
    55,  4.6881e+01,  1.2167754956747988e-01, -5.4495641647982450e-02,  1.4649696375706300e-01, -5.7958121086214131e-03,  1.1428498454937391e-01,  7.0349783245961375e-02,  1.6362244441892862e-01, -6.6900465376084029e-03
