index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
36,37,1.2537819790089783e-06,1.2520228844629785e-06,10.426914425559275,0.0,0.0,0.0,9.865735794337538e-12,1.7492288102054674e-09,9.718470439617628,10.85747928905841,0.004713611601447613,4.1747109675830347e-05,0.24639216623439245
37,38,1.2535975114397843e-06,1.2518364528599978e-06,10.426922997441984,0.0,0.0,0.0,1.3046442321571071e-11,1.7480121374649583e-09,9.74396265800866,10.857500353223019,0.004713956369183856,5.2051014423346944e-05,0.24637671722587934
38,39,1.2532175192451064e-06,1.2514616422068156e-06,10.426944365343875,0.0,0.0,0.0,9.175700269352015e-12,1.746701338021341e-09,9.772079305883171,10.857474287643008,0.004713080043252664,4.762239277989405e-05,0.2463647631981596
39,40,1.2527473299686425e-06,1.2497930644947493e-06,10.42707158799374,0.0,0.0,0.0,1.212982912256817e-09,1.7412825616363025e-09,9.89089232430339,10.858896371528713,0.004707308389958215,0.0007258117085116377,0.2463234018005474
40,41,1.2525025924916454e-06,1.2506937937371298e-06,10.426993897911933,0.0,0.0,0.0,6.426867829534546e-11,1.7445300762204072e-09,9.819059524842471,10.857697341370327,0.00471066372836136,0.00014568604336083203,0.24634832084856922
41,42,1.2515037285503251e-06,1.2488137005593278e-06,10.427214421788126,0.0,0.0,0.0,9.516541577246218e-10,1.7383738332727055e-09,9.957484490086584,10.8587184247072,0.004700992451014,0.0006531466671841655,0.2463152577958662
42,43,1.2511464562486863e-06,1.2493391671794538e-06,10.427101931174535,0.0,0.0,0.0,6.584349163755306e-11,1.741445577594996e-09,9.887490284614728,10.857701707313502,0.004705330392049507,0.00015684134570500405,0.2463318899566468
43,44,1.2500292515017823e-06,1.2478855033351379e-06,10.427246653689377,0.0,0.0,0.0,4.0520501123328503e-10,1.7385431554112392e-09,9.947826674483771,10.858239048063222,0.00469768499360932,0.00041656015883971944,0.24630928727028747
44,45,1.2513609038722497e-06,1.249622385526036e-06,10.427430555532858,0.0,0.0,0.0,0.0,1.7385183462137609e-09,9.938473599889232,10.854406371803819,0.004688745024114449,7.414668324889356e-05,0.24631928647091123
45,46,1.2495910628321053e-06,1.247852527618111e-06,10.427302930798284,0.0,0.0,0.0,0.0,1.7385352139942007e-09,9.944961554616635,10.857047052102729,0.00469435678551361,4.655693961965686e-05,0.2463123527796875
46,47,1.2493147767777315e-06,1.247576731553562e-06,10.427329797563191,0.0,0.0,0.0,0.0,1.7380452241696092e-09,9.95565952686771,10.857330889940771,0.00469412280760244,3.96993479745726e-05,0.2463071198835957
47,48,1.2491203696773914e-06,1.2469865817267096e-06,10.427375907881656,0.0,0.0,0.0,3.9726425945250713e-10,1.7365236912292233e-09,9.99158361381619,10.858230183594108,0.004692291993766407,0.00040818369071415574,0.24630791010953296
48,49,1.2488063516785611e-06,1.2470662533927857e-06,10.427333015809293,0.0,0.0,0.0,2.6949826489820745e-12,1.737403303126555e-09,9.972710527237096,10.857412236684818,0.004693621644200988,3.4638044513016336e-05,0.24631967220283266
49,50,1.2486894841817637e-06,1.2469470683079307e-06,10.427350404391419,0.0,0.0,0.0,5.375571337819401e-12,1.7370403024950957e-09,9.980261245966242,10.857442508018874,0.004692668637833606,3.856998404603387e-05,0.2463143686632655
50,51,1.24827360104376e-06,1.2464097496419148e-06,10.42741881815272,0.0,0.0,0.0,1.2878808688945718e-10,1.7350633149558463e-09,10.0247438089596,10.857846339930742,0.004689544638260887,0.00022254699372844942,0.24628918950410636
51,52,1.2480609744286485e-06,1.2463011697765468e-06,10.427406548496814,0.0,0.0,0.0,2.4845715054443553e-11,1.7349589370472252e-09,10.027899495431814,10.857561736048442,0.004689871820159295,8.649647679450513e-05,0.246284290927611
52,53,1.2479409575829344e-06,1.2461879235468728e-06,10.427400008445733,0.0,0.0,0.0,1.8652556015689594e-11,1.734381480046044e-09,10.043230882988215,10.857531965615035,0.004690291670026068,7.357246887144283e-05,0.2462785953678562
53,54,1.2476959944151639e-06,1.245951288146721e-06,10.4273795006589,0.0,0.0,0.0,1.0765519050991985e-11,1.7339407493917786e-09,10.05456482174606,10.857485554885647,0.004690172667013325,5.096811582095737e-05,0.2462713122949058
54,55,1.2472121064364468e-06,1.2449055547819768e-06,10.427283418087082,0.0,0.0,0.0,5.760606485817664e-10,1.730491005888136e-09,10.143275446360052,10.858412189435475,0.004689758055082906,0.000489920159994989,0.24621103188344687
55,56,1.2470232219849635e-06,1.245291222779232e-06,10.427201965876865,0.0,0.0,0.0,0.0,1.7319992057314323e-09,10.107676152550694,10.85688483813425,0.004692810326648745,4.092096138423096e-05,0.2462196174658686
56,57,1.2467890467872419e-06,1.2450573263255128e-06,10.427260385020455,0.0,0.0,0.0,0.0,1.7317204617290855e-09,10.113789452730769,10.857133822947038,0.004691160716204581,3.3444301872821886e-05,0.24622270950618122
57,58,1.246339761460198e-06,1.2445369208911314e-06,10.427264098812481,0.0,0.0,0.0,7.255526645326507e-11,1.7302853026132002e-09,10.149324572117076,10.857719754066244,0.004690048149638612,0.00015781914133519543,0.24620362651325592
58,59,1.2460590645698363e-06,1.2442147497921843e-06,10.42722059890366,0.0,0.0,0.0,1.1498989690423556e-10,1.7293248807478563e-09,10.173670607109228,10.85781838238724,0.004690271265730553,0.00020462731336446012,0.24618382198538813
59,60,1.2459290385947796e-06,1.2441998986725034e-06,10.427179273880075,0.0,0.0,0.0,0.0,1.7291399222762457e-09,10.177777306480541,10.857291790680943,0.004691224992698867,3.322184867151082e-05,0.24617454607699032
60,61,1.2458589422673542e-06,1.2441139851602638e-06,10.42718075645681,0.0,0.0,0.0,1.6358655097659814e-11,1.7285984519927717e-09,10.19137680081049,10.85751969957145,0.004691017414622841,6.103601526196085e-05,0.24616542610904266
61,62,1.2458176952479786e-06,1.244057164694742e-06,10.427185445412055,0.0,0.0,0.0,3.228511215161307e-11,1.728245441084953e-09,10.200590534623384,10.857592927020118,0.004690902999954028,9.467902368204957e-05,0.24616004821887477
62,63,1.2457663267726912e-06,1.244022106738902e-06,10.427191723022942,0.0,0.0,0.0,1.6314268224598046e-11,1.7279057655647496e-09,10.209761814595717,10.857519454009736,0.004690892992930125,5.907814711983433e-05,0.24615543415109756
63,64,1.2457304055328408e-06,1.2439960126606254e-06,10.427187983123023,0.0,0.0,0.0,6.83680017916878e-12,1.7275560720361696e-09,10.21925543955133,10.857455754472829,0.004691083013876916,3.0530012589026766e-05,0.2461501914580344
64,65,1.2456865410030355e-06,1.2439580687673358e-06,10.427181480739225,0.0,0.0,0.0,1.393686949177062e-12,1.7270785487505105e-09,10.232082985150484,10.857391615887757,0.0046913640399569075,1.8507571143034266e-05,0.24614326093474959
65,66,1.2456326690387507e-06,1.2439059004365234e-06,10.427176845754577,0.0,0.0,0.0,2.3775073354537106e-13,1.7265308514939433e-09,10.24628575910419,10.85736062629791,0.004691561754230738,2.7881737498308824e-05,0.24613610625087298
66,67,1.2454933501307628e-06,1.2437676758374344e-06,10.42717506818443,0.0,0.0,0.0,1.8550468123488883e-13,1.7254887886471591e-09,10.27186287631705,10.857358081905103,0.004691667754945626,3.0124631678477566e-05,0.24612496179944363
67,68,1.2454676879533038e-06,1.243145079509291e-06,10.427190346382233,0.0,0.0,0.0,6.005743716314572e-10,1.722034072381347e-09,10.349881127631585,10.858434789618535,0.004691148490254012,0.0004931561722127274,0.24609776666417946
