Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
    34,  1.7682e+01,  1.0676104927087551e-01,  2.3193967360154152e-02,  1.6591166796738233e-01, -1.0949770274335668e-01, -1.3642239569317688e-01,  1.8742587378248902e-02,  2.2971228793836795e-01,  9.8966324863119862e-02
    35,  1.7682e+01,  1.0676104927087551e-01,  2.3193967360154152e-02,  1.6591166796738233e-01, -1.0949770274335668e-01, -1.3642239569317688e-01,  1.8742587378248902e-02,  2.2970228793836794e-01,  9.8976324863119858e-02
    36,  2.2122e+01,  1.0723771913078423e-01,  2.3418056590557318e-02,  1.6485385032256306e-01, -1.0944557823579448e-01, -1.3565350294406878e-01,  1.9244865652332837e-02,  2.3170331744990785e-01,  9.9893619265511616e-02
    37,  2.2122e+01,  1.0724771913078422e-01,  2.3418056590557318e-02,  1.6485385032256306e-01, -1.0944557823579448e-01, -1.3565350294406878e-01,  1.9244865652332837e-02,  2.3170331744990785e-01,  9.9893619265511616e-02
    38,  2.2122e+01,  1.0723771913078423e-01,  2.3428056590557318e-02,  1.6485385032256306e-01, -1.0944557823579448e-01, -1.3565350294406878e-01,  1.9244865652332837e-02,  2.3170331744990785e-01,  9.9893619265511616e-02
    39,  2.2122e+01,  1.0723771913078423e-01,  2.3418056590557318e-02,  1.6486385032256307e-01, -1.0944557823579448e-01, -1.3565350294406878e-01,  1.9244865652332837e-02,  2.3170331744990785e-01,  9.9893619265511616e-02
    40,  2.2122e+01,  1.0723771913078423e-01,  2.3418056590557318e-02,  1.6485385032256306e-01, -1.0943557823579449e-01, -1.3565350294406878e-01,  1.9244865652332837e-02,  2.3170331744990785e-01,  9.9893619265511616e-02
    41,  2.2122e+01,  1.0723771913078423e-01,  2.3418056590557318e-02,  1.6485385032256306e-01, -1.0944557823579448e-01, -1.3564350294406877e-01,  1.9244865652332837e-02,  2.3170331744990785e-01,  9.9893619265511616e-02
    42,  2.2122e+01,  1.0723771913078423e-01,  2.3418056590557318e-02,  1.6485385032256306e-01, -1.0944557823579448e-01, -1.3565350294406878e-01,  1.9254865652332837e-02,  2.3170331744990785e-01,  9.9893619265511616e-02
    43,  2.2122e+01,  1.0723771913078423e-01,  2.3418056590557318e-02,  1.6485385032256306e-01, -1.0944557823579448e-01, -1.3565350294406878e-01,  1.9244865652332837e-02,  2.3171331744990786e-01,  9.9893619265511616e-02
    44,  2.2122e+01,  1.0723771913078423e-01,  2.3418056590557318e-02,  1.6485385032256306e-01, -1.0944557823579448e-01, -1.3565350294406878e-01,  1.9244865652332837e-02,  2.3170331744990785e-01,  9.9903619265511612e-02
    45,  2.5668e+01,  1.0804744634942316e-01,  2.4062176909063582e-02,  1.6264072711031824e-01, -1.0944441995080402e-01, -1.3408830504884253e-01,  2.0355682592614291e-02,  2.3570173384023738e-01,  1.0156300179868182e-01
    46,  2.5668e+01,  1.0805744634942316e-01,  2.4062176909063582e-02,  1.6264072711031824e-01, -1.0944441995080402e-01, -1.3408830504884253e-01,  2.0355682592614291e-02,  2.3570173384023738e-01,  1.0156300179868182e-01
    47,  2.5668e+01,  1.0804744634942316e-01,  2.4072176909063582e-02,  1.6264072711031824e-01, -1.0944441995080402e-01, -1.3408830504884253e-01,  2.0355682592614291e-02,  2.3570173384023738e-01,  1.0156300179868182e-01
    48,  2.5668e+01,  1.0804744634942316e-01,  2.4062176909063582e-02,  1.6265072711031825e-01, -1.0944441995080402e-01, -1.3408830504884253e-01,  2.0355682592614291e-02,  2.3570173384023738e-01,  1.0156300179868182e-01
    49,  2.5668e+01,  1.0804744634942316e-01,  2.4062176909063582e-02,  1.6264072711031824e-01, -1.0943441995080402e-01, -1.3408830504884253e-01,  2.0355682592614291e-02,  2.3570173384023738e-01,  1.0156300179868182e-01
    50,  2.5668e+01,  1.0804744634942316e-01,  2.4062176909063582e-02,  1.6264072711031824e-01, -1.0944441995080402e-01, -1.3407830504884252e-01,  2.0355682592614291e-02,  2.3570173384023738e-01,  1.0156300179868182e-01
    51,  2.5668e+01,  1.0804744634942316e-01,  2.4062176909063582e-02,  1.6264072711031824e-01, -1.0944441995080402e-01, -1.3408830504884253e-01,  2.0365682592614291e-02,  2.3570173384023738e-01,  1.0156300179868182e-01
    52,  2.5668e+01,  1.0804744634942316e-01,  2.4062176909063582e-02,  1.6264072711031824e-01, -1.0944441995080402e-01, -1.3408830504884253e-01,  2.0355682592614291e-02,  2.3571173384023739e-01,  1.0156300179868182e-01
    53,  2.5668e+01,  1.0804744634942316e-01,  2.4062176909063582e-02,  1.6264072711031824e-01, -1.0944441995080402e-01, -1.3408830504884253e-01,  2.0355682592614291e-02,  2.3570173384023738e-01,  1.0157300179868181e-01
    54,  2.9293e+01,  1.0764954764646228e-01,  2.3341328213141308e-02,  1.6389612230232051e-01, -1.0919800903269919e-01, -1.3442495452785844e-01,  1.9576898418405812e-02,  2.3362476264412099e-01,  1.0102467552037285e-01
    55,  2.9293e+01,  1.0765954764646228e-01,  2.3341328213141308e-02,  1.6389612230232051e-01, -1.0919800903269919e-01, -1.3442495452785844e-01,  1.9576898418405812e-02,  2.3362476264412099e-01,  1.0102467552037285e-01
    56,  2.9293e+01,  1.0764954764646228e-01,  2.3351328213141308e-02,  1.6389612230232051e-01, -1.0919800903269919e-01, -1.3442495452785844e-01,  1.9576898418405812e-02,  2.3362476264412099e-01,  1.0102467552037285e-01
    57,  2.9293e+01,  1.0764954764646228e-01,  2.3341328213141308e-02,  1.6390612230232052e-01, -1.0919800903269919e-01, -1.3442495452785844e-01,  1.9576898418405812e-02,  2.3362476264412099e-01,  1.0102467552037285e-01
    58,  2.9293e+01,  1.0764954764646228e-01,  2.3341328213141308e-02,  1.6389612230232051e-01, -1.0918800903269919e-01, -1.3442495452785844e-01,  1.9576898418405812e-02,  2.3362476264412099e-01,  1.0102467552037285e-01
    59,  2.9293e+01,  1.0764954764646228e-01,  2.3341328213141308e-02,  1.6389612230232051e-01, -1.0919800903269919e-01, -1.3441495452785843e-01,  1.9576898418405812e-02,  2.3362476264412099e-01,  1.0102467552037285e-01
    60,  2.9293e+01,  1.0764954764646228e-01,  2.3341328213141308e-02,  1.6389612230232051e-01, -1.0919800903269919e-01, -1.3442495452785844e-01,  1.9586898418405812e-02,  2.3362476264412099e-01,  1.0102467552037285e-01
    61,  2.9293e+01,  1.0764954764646228e-01,  2.3341328213141308e-02,  1.6389612230232051e-01, -1.0919800903269919e-01, -1.3442495452785844e-01,  1.9576898418405812e-02,  2.3363476264412100e-01,  1.0102467552037285e-01
    62,  2.9293e+01,  1.0764954764646228e-01,  2.3341328213141308e-02,  1.6389612230232051e-01, -1.0919800903269919e-01, -1.3442495452785844e-01,  1.9576898418405812e-02,  2.3362476264412099e-01,  1.0103467552037285e-01
    63,  3.2680e+01,  1.0772950687280712e-01,  2.3642333057534194e-02,  1.6360734746519623e-01, -1.0935886272953914e-01, -1.3448754430125803e-01,  1.9828029142234031e-02,  2.3407657298410697e-01,  1.0102663103947954e-01
    64,  3.2680e+01,  1.0773950687280712e-01,  2.3642333057534194e-02,  1.6360734746519623e-01, -1.0935886272953914e-01, -1.3448754430125803e-01,  1.9828029142234031e-02,  2.3407657298410697e-01,  1.0102663103947954e-01
    65,  3.2680e+01,  1.0772950687280712e-01,  2.3652333057534194e-02,  1.6360734746519623e-01, -1.0935886272953914e-01, -1.3448754430125803e-01,  1.9828029142234031e-02,  2.3407657298410697e-01,  1.0102663103947954e-01
    66,  3.2680e+01,  1.0772950687280712e-01,  2.3642333057534194e-02,  1.6361734746519624e-01, -1.0935886272953914e-01, -1.3448754430125803e-01,  1.9828029142234031e-02,  2.3407657298410697e-01,  1.0102663103947954e-01
    67,  3.2680e+01,  1.0772950687280712e-01,  2.3642333057534194e-02,  1.6360734746519623e-01, -1.0934886272953914e-01, -1.3448754430125803e-01,  1.9828029142234031e-02,  2.3407657298410697e-01,  1.0102663103947954e-01
    68,  3.2680e+01,  1.0772950687280712e-01,  2.3642333057534194e-02,  1.6360734746519623e-01, -1.0935886272953914e-01, -1.3447754430125802e-01,  1.9828029142234031e-02,  2.3407657298410697e-01,  1.0102663103947954e-01
    69,  3.2680e+01,  1.0772950687280712e-01,  2.3642333057534194e-02,  1.6360734746519623e-01, -1.0935886272953914e-01, -1.3448754430125803e-01,  1.9838029142234030e-02,  2.3407657298410697e-01,  1.0102663103947954e-01
    70,  3.2680e+01,  1.0772950687280712e-01,  2.3642333057534194e-02,  1.6360734746519623e-01, -1.0935886272953914e-01, -1.3448754430125803e-01,  1.9828029142234031e-02,  2.3408657298410698e-01,  1.0102663103947954e-01
