
fun_coils#27 - J=2.8e-03, Jf=2.7e-03, ⟨B·n⟩=2.6e-02, B·n max=8.5e-02, ║∇J coils║=7.9e-02, C-C-Sep=0.11 J_CC=3.4e-05, J_CURVATURE=2.0e-05, J_MSC=3.0e-05, J_ALS=3.2e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.5, 3.3])=10.4, curvature=[7.0, 6.4, 5.5], mean squared curvature=[9.2, 9.0, 8.7], coils dofs=2.8721834820029564, 2.8973606454475873, 1.242488849810974, -0.0010526933714631848, 0.40285525115738535, -0.007844724024495866
fun_coils#28 - J=2.9e-03, Jf=2.5e-03, ⟨B·n⟩=2.5e-02, B·n max=9.8e-02, ║∇J coils║=2.5e-01, C-C-Sep=0.10 J_CC=9.4e-05, J_CURVATURE=3.4e-05, J_MSC=2.9e-04, J_ALS=3.2e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.2])=10.4, curvature=[6.5, 6.6, 7.0], mean squared curvature=[9.0, 9.2, 9.7], coils dofs=2.8720319223516286, 2.8970869901207226, 1.24652184573288, -0.0045593313163267545, 0.4016502718978761, -0.0018769094960181905
fun_coils#29 - J=2.6e-03, Jf=2.5e-03, ⟨B·n⟩=2.5e-02, B·n max=8.4e-02, ║∇J coils║=5.5e-02, C-C-Sep=0.11 J_CC=5.4e-05, J_CURVATURE=6.7e-06, J_MSC=9.5e-06, J_ALS=3.2e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.3])=10.4, curvature=[6.2, 6.5, 6.2], mean squared curvature=[9.1, 9.1, 9.1], coils dofs=2.872109397514733, 2.8972268788767175, 1.244460234914218, -0.0027667872958892894, 0.40226624035551184, -0.004927572386315151
fun_coils#30 - J=2.5e-03, Jf=2.4e-03, ⟨B·n⟩=2.5e-02, B·n max=7.4e-02, ║∇J coils║=3.9e-02, C-C-Sep=0.11 J_CC=4.4e-05, J_CURVATURE=4.1e-06, J_MSC=0.0e+00, J_ALS=3.2e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.3])=10.4, curvature=[6.3, 6.4, 5.9], mean squared curvature=[9.0, 8.9, 8.9], coils dofs=2.872008173433981, 2.897107399601602, 1.2452432351388123, -0.00314112020982417, 0.40255874106663453, -0.0043258149396231856
fun_coils#31 - J=2.5e-03, Jf=2.1e-03, ⟨B·n⟩=2.3e-02, B·n max=8.1e-02, ║∇J coils║=1.5e-01, C-C-Sep=0.11 J_CC=7.3e-05, J_CURVATURE=2.1e-05, J_MSC=1.7e-04, J_ALS=3.2e-06, J_LENGTH_PENALTY=1.0e-04 Coil lengths=sum([3.6, 3.6, 3.3])=10.5, curvature=[6.7, 6.6, 6.5], mean squared curvature=[9.3, 9.0, 9.5], coils dofs=2.8717117553931457, 2.89657894536912, 1.2495359052944062, -0.006088049491732235, 0.4031996232646981, 0.0005598537552364731
fun_coils#32 - J=2.3e-03, Jf=2.2e-03, ⟨B·n⟩=2.3e-02, B·n max=7.5e-02, ║∇J coils║=5.2e-02, C-C-Sep=0.11 J_CC=5.6e-05, J_CURVATURE=5.6e-06, J_MSC=1.8e-05, J_ALS=3.2e-06, J_LENGTH_PENALTY=2.0e-05 Coil lengths=sum([3.6, 3.6, 3.3])=10.5, curvature=[6.4, 6.2, 6.2], mean squared curvature=[9.1, 8.9, 9.2], coils dofs=2.8718583303604315, 2.8968402592946143, 1.2474132342658455, -0.004630830282431497, 0.40288271513403795, -0.0018560475411187145
fun_coils#33 - J=2.2e-03, Jf=2.1e-03, ⟨B·n⟩=2.2e-02, B·n max=7.6e-02, ║∇J coils║=3.7e-02, C-C-Sep=0.11 J_CC=5.0e-05, J_CURVATURE=4.2e-06, J_MSC=4.8e-06, J_ALS=3.2e-06, J_LENGTH_PENALTY=5.1e-05 Coil lengths=sum([3.6, 3.6, 3.3])=10.5, curvature=[6.2, 6.4, 5.9], mean squared curvature=[9.0, 9.0, 9.1], coils dofs=2.8718347004279545, 2.8966461589981347, 1.2480092204101279, -0.005595715370151862, 0.40402974477631814, -0.00022229708503970986
fun_coils#34 - J=2.0e-03, Jf=1.9e-03, ⟨B·n⟩=2.1e-02, B·n max=7.7e-02, ║∇J coils║=8.9e-02, C-C-Sep=0.11 J_CC=4.4e-05, J_CURVATURE=6.2e-06, J_MSC=7.9e-05, J_ALS=3.1e-06, J_LENGTH_PENALTY=3.8e-05 Coil lengths=sum([3.6, 3.6, 3.3])=10.5, curvature=[6.0, 6.5, 6.4], mean squared curvature=[8.9, 9.0, 9.4], coils dofs=2.871932845715113, 2.8963933430852036, 1.2487264428327518, -0.00693387853445148, 0.4041219435982874, 0.0019727501519262525
fun_coils#35 - J=1.9e-03, Jf=1.9e-03, ⟨B·n⟩=2.2e-02, B·n max=7.5e-02, ║∇J coils║=3.9e-02, C-C-Sep=0.11 J_CC=4.5e-05, J_CURVATURE=3.3e-07, J_MSC=6.5e-07, J_ALS=3.1e-06, J_LENGTH_PENALTY=8.5e-06 Coil lengths=sum([3.6, 3.6, 3.3])=10.5, curvature=[5.8, 6.1, 5.8], mean squared curvature=[8.8, 9.0, 9.0], coils dofs=2.872106537074012, 2.8963087067640623, 1.2483547694837702, -0.007173074460666696, 0.4037312573034792, 0.002347924889837971
fun_coils#36 - J=1.9e-03, Jf=1.8e-03, ⟨B·n⟩=2.1e-02, B·n max=7.8e-02, ║∇J coils║=3.3e-02, C-C-Sep=0.11 J_CC=4.3e-05, J_CURVATURE=8.8e-07, J_MSC=4.9e-06, J_ALS=3.1e-06, J_LENGTH_PENALTY=1.8e-05 Coil lengths=sum([3.6, 3.6, 3.3])=10.5, curvature=[5.9, 6.3, 5.8], mean squared curvature=[8.9, 9.0, 9.1], coils dofs=2.872112669703628, 2.896188435097276, 1.2496029109379583, -0.008117355723070693, 0.4032523133494817, 0.003994952849386314
fun_coils#37 - J=1.7e-03, Jf=1.6e-03, ⟨B·n⟩=2.0e-02, B·n max=8.7e-02, ║∇J coils║=7.5e-02, C-C-Sep=0.12 J_CC=2.5e-05, J_CURVATURE=7.3e-06, J_MSC=6.1e-05, J_ALS=3.0e-06, J_LENGTH_PENALTY=3.0e-05 Coil lengths=sum([3.6, 3.6, 3.3])=10.5, curvature=[6.0, 6.6, 6.2], mean squared curvature=[9.1, 9.1, 9.3], coils dofs=2.8722655230672083, 2.895780572760183, 1.2535262587356508, -0.011254522056942018, 0.4011273307834908, 0.009625901240535594
fun_coils#38 - J=1.6e-03, Jf=1.5e-03, ⟨B·n⟩=1.9e-02, B·n max=8.1e-02, ║∇J coils║=5.4e-02, C-C-Sep=0.12 J_CC=2.7e-05, J_CURVATURE=1.6e-06, J_MSC=5.6e-05, J_ALS=2.8e-06, J_LENGTH_PENALTY=1.1e-05 Coil lengths=sum([3.6, 3.6, 3.3])=10.5, curvature=[6.0, 6.3, 6.2], mean squared curvature=[9.1, 8.7, 9.3], coils dofs=2.8724935330577677, 2.8955608478335186, 1.255811349614447, -0.013102883545656493, 0.39934355876143945, 0.013179345085493809
fun_coils#39 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=1.8e-02, B·n max=7.8e-02, ║∇J coils║=3.7e-02, C-C-Sep=0.11 J_CC=2.5e-05, J_CURVATURE=1.5e-06, J_MSC=2.8e-05, J_ALS=2.8e-06, J_LENGTH_PENALTY=9.4e-06 Coil lengths=sum([3.6, 3.6, 3.3])=10.5, curvature=[5.9, 6.3, 5.9], mean squared curvature=[9.0, 8.7, 9.2], coils dofs=2.8726903289712387, 2.895265903051965, 1.257170085053741, -0.014791410027341887, 0.3987981867356845, 0.016371533690153046
