index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
10,11,0.02623474285523805,0.02396625987800905,10.823285074029522,0.0008423069459901228,0.00013414567851269632,0.001088775943432848,0.00020032496027624675,2.92944901708275e-06,23.181602351654966,19.78328287794668,0.0954307196266745,0.7753826311094055,0.04453710176079127
11,12,0.1482477711263052,0.10381018570133427,10.686140836100872,0.0014583022353220503,0.0003821329273344993,0.0036980519573519845,0.03889719635033484,1.901954627552113e-06,30.360661323501382,35.118278872348256,0.15735782228706086,6.3580459506845095,0.021224468110024295
12,13,0.02286107349709576,0.021381639510628152,10.785383817068356,0.0008333429850239559,6.402290776968796e-05,0.0005270234960278804,5.2255592673377945e-05,2.789004972704881e-06,20.55670106855703,19.953204274423918,0.09049008400534235,0.38555783420274853,0.04324283382588328
13,14,0.024388166858573788,0.018718718675249962,10.73663948975936,0.0007367070773932912,0.0001255303999573583,0.001936352237460163,0.002868423010977606,2.435457535408571e-06,27.81756164470258,24.19719608054276,0.07996428798771815,2.046965824122687,0.047330872883649455
14,15,0.020535738721268754,0.018286732082306165,10.755862366944577,0.0007594149345609314,7.83795910573124e-05,0.000921700355137828,0.0004868944997082856,2.6172584982342172e-06,23.060297191202938,21.54591074913031,0.08299680153650313,0.7104514395230618,0.04603558216246705
15,16,0.015402691798372977,0.014633406363558418,10.679256854393833,0.0004133870248990587,4.71128574523511e-05,3.66255753233241e-05,0.00026988812691122234,2.27185022860413e-06,16.646683879901502,21.458294652972697,0.0722865071875644,0.4390975736402363,0.0784105742460606
16,17,0.016599499747141703,0.011224733521101447,10.644378928596701,0.0004950890419609668,1.1085276719623176e-05,0.0009708940004027611,0.003895692189383751,2.005717573152e-06,22.72481990861384,24.637899545246434,0.06436078504749579,2.3068724603089414,0.06385498526108456
17,18,0.013128706428653037,0.012244778641667358,10.657962677920235,0.00038217361413648193,2.4013916041897297e-05,8.947089279409581e-05,0.0003861217693487592,2.1475946644456644e-06,16.66490014482179,22.450875098508774,0.06698559209476643,0.48041575269606596,0.07358571177425291
18,19,0.011361935454345325,0.010898776631542387,10.637916117829011,0.0004061610245420272,6.87040109254578e-06,3.405618914543783e-07,4.769180898678891e-05,2.095026290122126e-06,14.038003629707394,20.673093376370833,0.06390001585956662,0.14140554763184915,0.06920223660209274
19,20,0.010225632075578753,0.009498527182230243,10.629735729693124,0.00045530519826355095,1.1815800118496995e-05,1.0727395003602334e-05,0.00024727375344651243,1.982746516346567e-06,15.451188931119834,21.561796668740417,0.0597218906327775,0.18633803012492522,0.06830414614772198
