index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep,Jquasisymmetry,Jmercier,Jaspect
40,41,0.12903394345431585,1.5832613318802477e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377496,0.00030058513283402456,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
41,42,0.1290339434543158,1.583261331880247e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377491,0.0003005851328340245,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
42,43,0.12903394345431585,1.5832613318802477e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377496,0.00030058513283402456,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
43,44,0.1290339434543158,1.583261331880247e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377491,0.0003005851328340245,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
44,45,0.12903394345431585,1.5832613318802477e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377496,0.00030058513283402456,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
45,46,0.1290339434543158,1.583261331880247e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377491,0.0003005851328340245,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
46,47,0.12903394345431585,1.5832613318802477e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377496,0.00030058513283402456,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
47,48,0.1290339434543158,1.583261331880247e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377491,0.0003005851328340245,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
48,49,0.12903394345431585,1.5832613318802477e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377496,0.00030058513283402456,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
49,50,0.1290339434543158,1.583261331880247e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377491,0.0003005851328340245,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
50,51,0.12903394345431585,1.5832613318802477e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377496,0.00030058513283402456,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
