index,Nfeval,J,Jf,J_length,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
45,46,1.5053446942164658e-06,1.3006083892643434e-06,1.9999325498708096e-07,19.999325498708096,1.5297850083125404e-09,2.7295189474724524e-09,4.837460092561074e-10,0.0,8.898571478593538e-09,16.008182804109932,24.739256602304135,0.0005190161850840306,0.0001936187971886026,0.1493802699487142
46,47,1.5023657270654194e-06,1.3008418487493593e-06,1.9998989918444138e-07,19.99898991844414,1.3673020884558259e-09,1.1345143753329336e-12,1.6554252878781815e-10,0.0,8.89717217609498e-09,16.00270857294836,24.728002921495438,0.0005190072300132586,4.547602344834955e-05,0.1494120957769566
47,48,1.5011903965834465e-06,1.299637163608005e-06,1.9999027468631138e-07,19.999027468631137,1.4612936330551782e-09,4.800652307083489e-12,9.686400376765961e-11,0.0,8.896557452045122e-09,16.000828374780077,24.72627191227923,0.0005187477601387795,3.790304515663459e-05,0.14939414955193808
48,49,1.4973581863254332e-06,1.2948952786234526e-06,1.9999182767336733e-07,19.999182767336734,1.848826954551631e-09,5.4555061448795535e-11,5.676980126126823e-10,0.0,8.890851340998657e-09,16.00234848076735,24.699751862250018,0.0005175087896086597,5.3628558474900333e-05,0.14933105000092156
49,50,1.496055080185259e-06,1.2921709692312727e-06,1.9999380357144062e-07,19.999380357144062,1.9671665526170966e-09,9.875196264848632e-10,9.356212034437941e-10,0.0,8.887120710867081e-09,16.00746840830577,24.67970813965035,0.0005165451693393281,0.00013460456528245968,0.14931847718584554
50,51,1.4944383793248298e-06,1.2922725912117848e-06,1.999943860670686e-07,19.99943860670686,1.8445595470880645e-09,2.532989991903708e-10,7.354349969775554e-11,0.0,8.888963951063482e-09,15.999839272482763,24.688017729266438,0.0005163621643680812,6.801481674742054e-05,0.1493350801610327
51,52,1.4925701123040064e-06,1.2907572837408253e-06,1.9999364706045327e-07,19.999364706045327,1.4630018653994016e-09,2.0149945733973614e-11,3.360296915943728e-10,0.0,8.886284749683344e-09,16.003990419152743,24.674840774602753,0.0005161309620545081,3.785334610412748e-05,0.14939975309478867
52,53,1.4911008323059827e-06,1.28826685749056e-06,1.9999506227928555e-07,19.999506227928556,1.7275774267588595e-09,2.0242978707567416e-11,1.0910921306708614e-09,0.0,8.883261425552704e-09,16.008102220615076,24.659079720356786,0.0005156717932854758,6.22708007896673e-05,0.14935661729569194
53,54,1.4891235429440982e-06,1.2858718697354806e-06,1.9999769563554843e-07,19.999769563554842,2.2380549763909212e-09,1.3609202247179876e-10,8.79830574206364e-10,0.0,8.880737987222678e-09,16.00682833649445,24.6454141811996,0.000515078513721359,6.832325259163729e-05,0.14928169752951553
54,55,1.4865696808144419e-06,1.2829870584565424e-06,2.000009987439979e-07,20.00009987439979,2.6553540421267328e-09,2.5620862813276977e-10,6.700609436419786e-10,0.0,8.875890160257859e-09,16.0037747488956,24.619328153589993,0.0005140502330152403,6.325991499384053e-05,0.14923216830104283
55,56,1.4872389526748993e-06,1.2815052125986609e-06,2.000027472242536e-07,20.00027472242536,2.646310723428349e-09,2.723249230781909e-09,3.6143289777446607e-10,0.0,8.870511414525512e-09,15.998727601661598,24.591780904379952,0.0005133212992320579,0.00019046064477186555,0.14923868727569245
56,57,1.4858431898226823e-06,1.2822116229096232e-06,2.0000170077336026e-07,20.000170077336026,2.6516755604390296e-09,4.788938251014089e-10,4.992967541583868e-10,0.0,8.873643631712625e-09,16.001529444845907,24.607729710357578,0.0005136790773357354,7.93109991035782e-05,0.1492348622962665
57,58,1.4838880737872232e-06,1.2817400531774293e-06,1.999971436537288e-07,19.99971436537288,1.9595339281319996e-09,2.6497698207984757e-11,1.6484532972500803e-10,0.0,8.86572437781533e-09,15.992160112598295,24.567147894585336,0.0005130909984943727,6.31014061572122e-05,0.14933690937569924
58,59,1.482034446915299e-06,1.2798403498814673e-06,1.9999718238544437e-07,19.999718238544435,2.0271306605226767e-09,1.4071375202284001e-11,1.5571261266228622e-10,0.0,8.863203884736954e-09,15.992049208759653,24.5544410161529,0.0005127298330770366,4.021623361949113e-05,0.1493282698372923
59,60,1.4797106687850205e-06,1.2770658259732915e-06,1.9999763966424623e-07,19.999763966424624,2.1506442716301903e-09,1.8697026364578943e-11,4.778618494880851e-10,0.0,8.854862892704813e-09,15.993365762383625,24.512445691872735,0.0005118684420418304,4.387200962798599e-05,0.149317887576949
